FY ,Quarter,Month(As on),MFI_Name,AUM_RsCr,TotalAssets_RsCr,OnBS_OS_MFL-RsCr,MFL_P_TA,QualifyingAssets_P,Wavg_CoB,Avg_OperatingCost_P,Max_Interest Rate_MFL,Min_Interest Rate_MFL,Wavg_InterestRate_MFL, AverageTicketSize ,Off-BS_MFL_Port_RsCr,BusinessCorrespondent,Securitised_Portfolio,Assigned_Portfolio,SPV_Portfolio_PTC_RsCr,NPA_Portfolio_RsCr,GrossNPA_P_OnBS MFL,NetNPA_P_OnBS MFL,DPD_G30Days_Lakhs,DPD_G30Days_P_OnBS MFL,DPD_G60Days_Lakhs,DPD_G60Days_P_OnBS MFL,DPD_G90Days_Lakhs,DPD_G90Days_P_OnBS MFL,DPD_G180Days_Lakhs,DPD_G180Days_P_OnBS MFL,TotalEquity_P_TA,Promoter_P_TA,FDI_P_TA,Others_P_TA,AIFIs_P_TA,Top5_Banks_P,OtherBanks_P,SFBs_P,Banks_P_TA,NBE_TA,ECB_P_TA,Others_P_TA,TermLoan_P_TA,Debentures_P_TA,SuborditedDebt_P_TA,CommercialPapers_P_TA,AnyOther_P_TA,Income_OnBS MFL_Port_P_TA,Income_OffBS MFL_Port_P_TA,I_NonCredit_FP_TA,I_NonCredit_NFProducts_TA,Share_Income_Activities_Direct Lending,OperatingProfit_RsCr,NetProfit_RsCr,ROA_P,ROE_P,L20P_LRs50000,L20P_GRs50000to1Lak,L20P_GRs1LaktoLRs1p5Lak,L20P_GRs1p5LaktoLRs2lak,L20P_GRs2laktoLRs2p5Lak,L20P_GRs2p5LaktoLRs3Lak,G20ptoL30p_LRs50000,G20ptoL30p_LRs50000toLRs1Lak ,G20ptoL30p_GRs1LaktoLRs1p5Lak,G20ptoL30p_GRs1p5LaktoLRs2Lak,G20ptoL30p_GRs2LaktoLR2p5Lak,G20ptoL30p_GRs2p5LaktoLRs3Lak,G30ptoL40p_LRs50000,G30ptoL40p_GRs50000toLRs1Lak ,G30ptoL40p_GRs1LaktoLRs1p5Lak,G30ptoL40p_GRs1p5LaktoLRs2Lak,G30ptoL40p_GRs2LaktoLRs2p5Lak,G30ptoL40p_GRs2p5LaktoLRs3Lak,G40ptoL50p_LR50000,G40ptoL50p_GRs50000toLRs1Lak ,G40ptoL50p_GRs1LaktoLRs1p5Lak,G40ptoL50p_GRs1p5LaktoLRs2Lak,G40ptoL50p_GRs2LaktoLRs2p5Lak,G40ptoL50p_GRs2p5LaktoLRs3Lak
FY 20-21,Q2 FY 20-21,Sep-20,Fino Finance Pvt Ltd,339.46,281.24,,,88.00%,16.50%,3.70%,,,23.00%,0,,,,,,0.84,0.41%,,433.38,1.28%,274.98,0.81%,158.74,0.47%,158.74,0.47%,,,,,0.00,9.13,43.93,,,46.95,0.00,0.00,,,,,,,,,,24.41%,60.17,-15.57,-5.02%,-18.70%,,,,,,,,,,,,,,,,,,,,,,,,
FY 20-21,Q2 FY 20-21,Sep-20,Fusion Microfinance Pvt Ltd,3626.22,4831.48,,,90.18%,11.36%,5.77%,,,21.82%,33682,,,,,,179.71,0.98%,,5095.05,1.41%,4479.15,1.24%,3647.43,1.01%,3515.46,0.97%,,,,,21.92,31.87,26.84,,,19.37,0.00,0.00,,,,,,,,,,7.42%,1014.33,22.50,0.86%,3.31%,,,,,,,,,,,,,,,,,,,,,,,,
FY 20-21,Q2 FY 20-21,Sep-20,G U Financial Services Pvt Ltd,,,,,,,,,,,,,,,,,,,,33.97,0.17%,32.85,0.17%,30.76,0.16%,20.68,0.11%,,,,, , , ,,, , , ,,,,,,,,,, , , , , ,,,,,,,,,,,,,,,,,,,,,,,,
FY 20-21,Q2 FY 20-21,Sep-20,Growing Opportunity Finance India Pvt Ltd,195.90,257.61,,,98.26%,15.30%,2.83%,,,24.16%,35315,,,,,,0.00,0.06%,, , , , , , , , ,,,,,0.00,3.56,28.37,,,68.07,0.00,0.00,,,,,,,,,,0.00%,19.28,7.71,3.00%,2.95%,,,,,,,,,,,,,,,,,,,,,,,,
FY 20-21,Q2 FY 20-21,Sep-20,Hindusthan Microfinance Pvt Ltd,13.06,25.39,,,87.94%,15.60%,3.52%,,,24.54%,0,,,,,,0.00,0.52%,,18.35,1.40%,12.16,0.93%,5.88,0.45%,1.46,0.11%,,,,,0.00,100.00,0.00,,,0.00,0.00,0.00,,,,,,,,,,0.00%,5.85,1.64,2.95%,14.90%,,,,,,,,,,,,,,,,,,,,,,,,
FY 20-21,Q2 FY 20-21,Sep-20,Humana Financial Services Pvt Ltd,117.09,50.24,,,86.58%,9.90%,5.42%,,,23.67%,35823,,,,,,-0.83,0.19%,,310.55,1.37%,285.47,1.26%,256.94,1.13%,177.18,0.78%,,,,,0.00,0.00,20.14,,,79.86,0.00,0.00,,,,,,,,,,40.62%,5.69,1.57,3.00%,8.56%,,,,,,,,,,,,,,,,,,,,,,,,
FY 20-21,Q2 FY 20-21,Sep-20,Inditrade Microfinance Ltd,226.74,236.20,,,99.78%,,6.31%,,,23.68%,16388,,,,,,3.57,1.13%,,268.74,0.63%,228.97,0.54%,186.23,0.44%,97.63,0.23%,,,,,10.00,0.00,13.55,,,76.45,0.00,0.00,,,,,,,,,,0.00%,11.57,0.00,1.02%,4.40%,,,,,,,,,,,,,,,,,,,,,,,,
FY 20-21,Q2 FY 20-21,Sep-20,Jagaran Microfin Pvt Ltd,427.94,553.20,,,87.83%,15.71%,4.22%,,,23.50%,27929,,,,,,14.92,0.43%,,177.14,0.77%,176.38,0.77%,151.66,0.66%,132.75,0.58%,,,,,13.83,10.51,20.48,,,36.27,0.00,18.91,,,,,,,,,,0.00%,18.16,8.17,1.45%,8.09%,,,,,,,,,,,,,,,,,,,,,,,,
FY 20-21,Q2 FY 20-21,Sep-20,Janakalyan financial services Pvt ltd,230.39,210.19,,,92.00%,13.91%,4.38%,,,23.67%,29871,,,,,,1.52,0.96%,,307.86,0.60%,307.46,0.60%,306.40,0.59%,306.27,0.59%,,,,,17.03,19.64,18.09,,,45.25,0.00,0.00,,,,,,,,,,10.13%,18.18,2.62,1.25%,7.07%,,,,,,,,,,,,,,,,,,,,,,,,
FY 20-21,Q2 FY 20-21,Sep-20,Light Microfinance Pvt Ltd,516.33,481.78,,,87.09%,13.16%,2.03%,,,23.67%,42845,,,,,,3.06,0.59%,,572.31,2.48%,516.62,2.24%,473.14,2.05%,398.51,1.73%,,,,,9.51,23.54,27.93,,,39.03,0.00,0.00,,,,,,,,,,15.84%,8.82,5.76,1.93%,3.41%,,,,,,,,,,,,,,,,,,,,,,,,
FY 20-21,Q2 FY 20-21,Sep-20,M Power Micro Finance Pvt Ltd,230.84,160.90,,,84.58%,15.40%,2.83%,,,23.68%,41256,,,,,,0.00,2.84%,,7089.94,3.57%,4122.72,2.08%,2980.31,1.50%,0.00,0.00%,,,,,1.39,1.98,20.05,,,76.58,0.00,0.00,,,,,,,,,,7.58%,12.17,1.77,1.88%,2.50%,,,,,,,,,,,,,,,,,,,,,,,,
FY 20-21,Q2 FY 20-21,Sep-20,Madura Micro Finance Ltd,1985.93,2098.43,,,95.87%,11.11%,2.88%,,,21.00%,37823,,,,,,23.07,1.21%,,6.04,0.01%,1.67,0.00%,0.00,0.00%,0.00,0.00%,,,,,23.99,14.66,39.86,,,17.16,0.00,4.33,,,,,,,,,,5.59%,100.53,3.70,0.84%,4.33%,,,,,,,,,,,,,,,,,,,,,,,,
FY 20-21,Q2 FY 20-21,Sep-20,Margdarshak Financial Services Ltd,440.17,448.82,,,100.00%,16.11%,7.54%,,,24.63%,22117,,,,,,0.00,0.00%,,1064.15,1.54%,635.89,0.92%,576.72,0.83%,415.19,0.60%,,,,, , , ,,, , , ,,,,,,,,,,6.13%,3.43,2.19,1.10%,23.71%,,,,,,,,,,,,,,,,,,,,,,,,
FY 20-21,Q2 FY 20-21,Sep-20,Midland Microfin Ltd,691.41,968.45,,,98.31%,12.57%,1.93%,,,23.03%,23855,,,,,,4.62,0.70%,,7.48,0.08%,4.28,0.04%,2.79,0.03%,1.30,0.01%,,,,,18.19,6.66,27.38,,,27.06,8.40,12.31,,,,,,,,,,4.75%,44.39,5.15,0.52%,3.93%,,,,,,,,,,,,,,,,,,,,,,,,
FY 20-21,Q2 FY 20-21,Sep-20,Mitrata Inclusive Financial Services Pvt Ltd,95.24,93.64,,,85.17%,16.52%,3.00%,,,25.10%,32899,,,,,,0.00,0.02%,,907.72,16.49%,124.81,2.27%,124.81,2.27%,124.81,2.27%,,,,,0.00,0.00,3.31,,,95.39,0.00,1.30,,,,,,,,,,7.99%,9.65,0.12,0.26%,1.00%,,,,,,,,,,,,,,,,,,,,,,,,
FY 20-21,Q2 FY 20-21,Sep-20,MSM Microfinance Pvt Ltd,55.04,47.73,,,87.66%,17.50%,3.85%,,,22.33%,24245,,,,,,0.99,2.61%,,28982.93,6.30%,26663.29,5.80%,24668.12,5.36%,22222.23,4.83%,,,,,4.07,11.10,0.00,,,0.00,0.00,84.83,,,,,,,,,,15.43%,0.55,0.12,24.26%,1.09%,,,,,,,,,,,,,,,,,,,,,,,,
FY 20-21,Q2 FY 20-21,Sep-20,Muthoot Microfin Ltd,4599.05,3611.38,,,94.81%,11.07%,2.64%,,,21.05%,40548,,,,,,246.68,4.38%,,952.83,1.82%,674.78,1.29%,492.01,0.94%,422.33,0.81%,,,,,31.91,21.08,30.54,,,16.47,0.00,0.00,,,,,,,,,,11.60%,96.48,-13.66,-0.35%,-1.50%,,,,,,,,,,,,,,,,,,,,,,,,
FY 20-21,Q2 FY 20-21,Sep-20,Namra Finance Ltd,523.12,585.89,,,97.63%,14.50%,,,,25.00%,0,,,,,,4.92,0.94%,,102.67,2.77%,102.54,2.77%,101.26,2.74%,76.46,2.07%,,,,,16.09,32.06,10.93,,,22.26,9.33,9.33,,,,,,,,,,44.69%,20.67,3.30,0.50%,2.20%,,,,,,,,,,,,,,,,,,,,,,,,
FY 20-21,Q2 FY 20-21,Sep-20,NEED Livelihood Microfinance Pvt Ltd,37.00,31.06,,,86.95%,16.91%,4.56%,,,23.88%,25648,,,,,,1.01,2.74%,,74.82,0.90%,0.00,0.00%,22.94,0.27%,0.00,0.00%,,,,,0.00,0.00,13.32,,,84.61,2.07,0.00,,,,,,,,,,7.54%,0.42,0.28,1.00%,2.02%,,,,,,,,,,,,,,,,,,,,,,,,
FY 20-21,Q2 FY 20-21,Sep-20,Nightingale Finvest Pvt Ltd,83.55,103.44,,,92.68%,17.50%,1.75%,,,24.65%,33317,,,,,,0.22,0.42%,,609.51,2.48%,523.44,2.13%,425.31,1.73%,320.42,1.30%,,,,,55.39,35.22,9.39,,,0.00,0.00,0.00,,,,,,,,,,5.08%,7.22,2.25,0.72%,2.20%,,,,,,,,,,,,,,,,,,,,,,,,
FY 20-21,Q2 FY 20-21,Sep-20,Saija Finance Pvt Ltd,245.67,296.81,,,93.60%,15.55%,2.41%,,,22.33%,39410,,,,,,4.25,1.67%,,8917.66,2.56%,7529.88,2.16%,6488.18,1.86%,3338.64,0.96%,,,,,9.18,0.29,25.55,,,64.98,0.00,0.00,,,,,,,,,,0.68%,33.86,0.41,0.05%,0.21%,,,,,,,,,,,,,,,,,,,,,,,,
FY 20-21,Q2 FY 20-21,Sep-20,Samasta Micro Finance Ltd,3484.61,3316.84,,,92.58%,13.22%,2.20%,,,23.52%,32840,,,,,,46.66,1.78%,, , , , , , , , ,,,,,18.86,40.36,20.72,,,20.06,0.00,0.00,,,,,,,,,,17.06%,141.13,8.06,0.25%,1.47%,,,,,,,,,,,,,,,,,,,,,,,,
FY 20-21,Q2 FY 20-21,Sep-20,Samavesh Finserv Pvt Ltd,8.64,9.35,,,96.10%,,10.10%,,,25.25%,19691,,,,,,0.00,0.00%,,558.63,2.22%,481.14,1.91%,391.17,1.55%,387.18,1.54%,,,,,0.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,,,,,0.00%,0.48,0.00,-3.60%,-3.96%,,,,,,,,,,,,,,,,,,,,,,,,
FY 20-21,Q2 FY 20-21,Sep-20,Sambandh Finserv Pvt Ltd,,,,,,,,,,,,,,,,,,,,29431.22,4.36%,25782.50,3.82%,21692.84,3.22%,15407.22,2.28%,,,,, , , ,,, , , ,,,,,,,,,, , , , , ,,,,,,,,,,,,,,,,,,,,,,,,
FY 20-21,Q2 FY 20-21,Sep-20,Sarala Development & Microfinance Pvt Ltd,252.03,260.64,,,86.91%,13.54%,3.78%,,,19.36%,23997,,,,,,0.00,1.52%,,0.41,0.00%,0.25,0.00%,0.00,0.00%,0.00,0.00%,,,,,16.17,4.65,27.14,,,52.04,0.00,0.00,,,,,,,,,,2.31%,12.91,2.76,1.91%,2.77%,,,,,,,,,,,,,,,,,,,,,,,,
FY 20-21,Q2 FY 20-21,Sep-20,Satin Credit Care Network Ltd,6744.42,7254.19,,,86.31%,11.85%,1.29%,,,21.22%,23823,,,,,,216.93,3.22%,,1316.90,1.36%,1118.51,1.15%,682.67,0.70%,31.93,0.03%,,,,,22.02,23.89,26.41,,,23.94,3.73,0.00,,,,,,,,,,17.11%,291.87,12.80,0.72%,3.45%,,,,,,,,,,,,,,,,,,,,,,,,
FY 20-21,Q2 FY 20-21,Sep-20,Satya MicroCapital Ltd,968.57,1196.41,,,89.53%,13.98%,2.61%,,,24.68%,26638,,,,,,6.83,0.72%,,0.00,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,,,,,3.20,0.10,29.99,,,64.44,1.13,1.14,,,,,,,,,,0.00%,58.75,0.00,0.08%,0.42%,,,,,,,,,,,,,,,,,,,,,,,,
FY 20-21,Q2 FY 20-21,Sep-20,SAVE Microfinance Pvt Ltd,84.67,97.35,,,86.97%,16.01%,2.30%,,,25.00%,28931,,,,,,0.00,0.00%,,25.44,0.17%,22.45,0.15%,20.56,0.13%,9.55,0.06%,,,,,0.00,0.00,0.00,,,100.00,0.00,0.00,,,,,,,,,,16.25%,4.67,0.28,0.59%,3.02%,,,,,,,,,,,,,,,,,,,,,,,,
FY 20-21,Q2 FY 20-21,Sep-20,Share Microfin Ltd,641.88,713.24,,,85.71%,0.00%,4.20%,,,22.33%,27131,,,,,,0.00,5.80%,,2669.45,1.95%,2215.82,1.62%,2149.91,1.57%,2020.42,1.47%,,,,,16.32,51.18,31.38,,,1.12,0.00,0.00,,,,,,,,,,0.00%,35.74,0.00,1.26%,5.00%,,,,,,,,,,,,,,,,,,,,,,,,
FY 20-21,Q2 FY 20-21,Sep-20,Sindhuja Microcredit Pvt Ltd,153.25,185.47,,,91.25%,15.78%,2.47%,,,23.67%,34794,,,,,,0.09,0.07%,,5527.27,0.75%,5521.03,0.75%,5491.66,0.75%,5275.13,0.72%,,,,,0.00,0.00,0.15,,,99.85,0.00,0.00,,,,,,,,,,6.41%,8.55,0.48,0.26%,0.78%,,,,,,,,,,,,,,,,,,,,,,,,
FY 20-21,Q2 FY 20-21,Sep-20,Sonata Finance Pvt Ltd,1371.10,1556.27,,,,,1.30%,,,21.78%,30561,,,,,,24.48,1.86%,,4623.76,8.79%,2381.74,4.53%,1706.19,3.24%,905.62,1.72%,,,,,100.00,0.00,0.00,,,0.00,0.00,0.00,,,,,,,,,,21.14%,144.07,-2.15,0.95%,3.79%,,,,,,,,,,,,,,,,,,,,,,,,
FY 20-21,Q2 FY 20-21,Sep-20,Spandana Sphoorty Financial Ltd,7354.16,6599.26,,,89.09%,0.00%,0.79%,,,20.98%,45759,,,,,,32.21,0.55%,,0.06,0.00%,0.00,0.00%,0.00,0.00%,0.00,0.00%,,,,,9.14,24.88,52.69,,,13.29,0.00,0.00,,,,,,,,,,6.71%,262.69,66.85,0.93%,2.46%,,,,,,,,,,,,,,,,,,,,,,,,
FY 20-21,Q2 FY 20-21,Sep-20,SV Creditline Pvt Ltd,526.24,419.80,,,85.20%,14.82%,3.42%,,,23.68%,38838,,,,,,11.03,3.12%,,556.00,1.38%,103.75,0.26%,90.57,0.23%,250.44,0.62%,,,,,13.38,30.32,2.34,,,53.95,0.00,0.00,,,,,,,,,,26.49%,42.84,3.00,0.49%,2.12%,,,,,,,,,,,,,,,,,,,,,,,,
FY 20-21,Q2 FY 20-21,Sep-20,Svamaan Financial Services Pvt Ltd,49.18,58.44,,,92.72%,13.08%,9.36%,,,23.00%,27998,,,,,,0.00,0.00%,,3028.48,1.15%,2788.82,1.06%,2712.57,1.03%,2659.72,1.01%,,,,,0.00,7.06,0.00,,,92.94,0.00,0.00,,,,,,,,,,0.00%,-3.04,-3.00,-5.38%,-27.03%,,,,,,,,,,,,,,,,,,,,,,,,
FY 20-21,Q2 FY 20-21,Sep-20,Svasti Microfinance Pvt Ltd,401.47,408.09,,,85.05%,14.32%,3.48%,,,23.78%,33330,,,,,,4.95,0.85%,, , , , , , , , ,,,,,11.33,1.04,19.67,,,0.00,8.86,59.11,,,,,,,,,,6.50%,17.73,1.10,0.57%,2.12%,,,,,,,,,,,,,,,,,,,,,,,,
FY 20-21,Q2 FY 20-21,Sep-20,Svatantra Microfin Pvt Ltd,2640.94,2978.74,,,89.69%,11.46%,3.55%,,,19.93%,43185,,,,,,27.13,1.03%,,0.09,0.00%,0.21,0.00%,0.02,0.00%,101.76,1.56%,,,,,5.45,24.36,59.11,,,9.62,1.47,0.00,,,,,,,,,,16.76%,196.13,37.99,2.87%,3.48%,,,,,,,,,,,,,,,,,,,,,,,,
FY 20-21,Q2 FY 20-21,Sep-20,Unacco Finance Pvt Ltd,,,,,,,,,,,,,,,,,,,,1388.38,1.21%,1100.44,0.96%,896.66,0.78%,728.89,0.63%,,,,, , , ,,, , , ,,,,,,,,,, , , , , ,,,,,,,,,,,,,,,,,,,,,,,,
FY 20-21,Q2 FY 20-21,Sep-20,Unnati Microfin Pvt Ltd,65.02,55.29,,,86.14%,13.69%,5.58%,,,23.67%,30000,,,,,,1.02,1.57%,,1582.44,1.64%,1370.34,1.42%,1184.66,1.23%,998.14,1.04%,,,,,0.00,22.75,0.00,,,77.25,0.00,0.00,,,,,,,,,,43.58%,7.35,0.08,0.14%,0.70%,,,,,,,,,,,,,,,,,,,,,,,,
FY 20-21,Q2 FY 20-21,Sep-20,Vaya FinServ Pvt Ltd,1150.84,828.99,,,86.67%,13.53%,1.56%,,,23.40%,31051,,,,,,8.97,1.05%,,81.31,1.14%,38.40,0.54%,53.61,0.75%,0.00,0.00%,,,,,6.86,5.14,14.25,,,49.62,0.00,24.12,,,,,,,,,,24.50%,10.02,2.84,0.24%,1.50%,,,,,,,,,,,,,,,,,,,,,,,,
FY 20-21,Q2 FY 20-21,Sep-20,Vector Finance Pvt Ltd,71.08,48.56,,,88.75%,,4.19%,,,23.68%,30268,,,,,,0.03,0.01%,,18.81,0.16%,18.81,0.16%,18.46,0.16%,12.18,0.10%,,,,,0.00,0.00,10.17,,,89.83,0.00,0.00,,,,,,,,,,48.99%,8.01,0.00,-1.89%,-5.40%,,,,,,,,,,,,,,,,,,,,,,,,
FY 20-21,Q2 FY 20-21,Sep-20,Village Financial Services Ltd,962.13,991.64,,,93.64%,13.88%,3.22%,,,23.95%,30282,,,,,,11.85,1.23%,,1.55,0.18%,0.22,0.03%,0.00,0.00%,0.00,0.00%,,,,,29.71,9.18,35.45,,,19.32,0.00,6.34,,,,,,,,,,1.27%,35.45,-28.91,0.00%,0.00%,,,,,,,,,,,,,,,,,,,,,,,,
FY 20-21,Q3 FY 20-21,Dec-20,Adhikar Microfinance Private Limited,,,,,,,,,,,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FY 20-21,Q3 FY 20-21,Dec-20,Adi Chitragupta Finance Limited,60.93,81.25,,,99.97%,14.70%,8.30%,,,22.95%,30280,,,,,,0.72,0.06%,,6.58,0.11%,4.67,0.08%,3.41,0.06%,2.22,0.04%,,,,,0.00,0.00,6.98,,,0.00,0.00,93.02,,,,,,,,,,0.00%,1.82,1.67,1.97%,4.60%,,,,,,,,,,,,,,,,,,,,,,,,
FY 20-21,Q3 FY 20-21,Dec-20,Agora Microfinance India Ltd,46.62,47.55,,,82.49%,11.33%,17.57%,,,25.11%,29000,,,,,,4.49,9.63%,,565.40,12.13%,488.01,10.47%,286.97,6.16%,64.77,1.39%,,,,,5.01,1.03,0.00,,,93.95,0.00,0.00,,,,,,,,,,21.15%,-1.64,-2.30,-2.67%,-6.53%,,,,,,,,,,,,,,,,,,,,,,,,
FY 20-21,Q3 FY 20-21,Dec-20,Annapurna Finance Private Limited,4466.29,5640.74,,,,11.34%,1.75%,,,21.25%,34334,,,,,,150.38,3.32%,,19381.21,4.34%,16681.73,3.74%,15038.31,3.37%,5610.96,1.26%,,,,,12.17,14.95,37.70,,,25.01,10.18,0.00,,,,,,,,,,0.18%,55.28,4.40,0.10%,0.57%,,,,,,,,,,,,,,,,,,,,,,,,
FY 20-21,Q3 FY 20-21,Dec-20,Arohan Financial Services Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FY 20-21,Q3 FY 20-21,Dec-20,Arth Micro Finance Pvt Ltd,283.66,105.18,,,85.40%,17.99%,6.21%,,,25.43%,35743,,,,,,0.00,1.23%,,1354.16,4.77%,1158.77,4.09%,813.89,2.87%,179.07,0.63%,,,,,76.18,19.42,4.39,,,0.00,0.00,0.00,,,,,,,,,,42.65%,4.86,0.82,0.70%,2.90%,,,,,,,,,,,,,,,,,,,,,,,,
FY 20-21,Q3 FY 20-21,Dec-20,ASA International India Microfinance Limited,1219.99,1318.80,,,86.15%,12.71%,9.51%,,,22.33%,26965,,,,,,19.03,1.57%,,39162.54,32.10%,27813.17,22.80%,1903.18,1.56%,1134.62,0.93%,,,,,7.45,5.46,8.76,,,18.91,9.89,49.54,,,,,,,,,,12.82%,43.30,1.36,0.15%,0.81%,,,,,,,,,,,,,,,,,,,,,,,,
FY 20-21,Q3 FY 20-21,Dec-20,Asirvad Microfinance Limited,5357.71,5130.61,,,92.70%,11.00%,1.40%,,,21.00%,28397,,,,,,141.05,2.63%,,52902.13,9.87%,28764.09,5.37%,14104.70,2.63%,5328.05,0.99%,,,,,19.20,15.01,55.80,,,3.62,6.38,0.00,,,,,,,,,,-15.98%,80.59,17.77,0.33%,1.70%,,,,,,,,,,,,,,,,,,,,,,,,
FY 20-21,Q3 FY 20-21,Dec-20,Avanti Finance Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FY 20-21,Q3 FY 20-21,Dec-20,Aviral Finance Pvt Ltd,24.63,28.03,,,89.77%,15.19%,4.36%,,,24.39%,35044,,,,,,0.78,3.15%,,77.71,3.16%,77.71,3.16%,77.69,3.15%,63.52,2.58%,,,,,0.00,0.76,0.00,,,48.22,0.00,51.02,,,,,,,,,,2.73%,0.17,0.01,0.04%,0.10%,,,,,,,,,,,,,,,,,,,,,,,,
FY 20-21,Q3 FY 20-21,Dec-20,Belstar Investment and Finance Pvt Ltd,2884.60,3064.81,,,92.76%,10.86%,2.46%,,,20.32%,33717,,,,,,19.42,0.75%,,29681.41,10.29%,21656.85,7.51%,15209.39,5.27%,1640.60,0.57%,,,,,14.69,21.34,49.75,,,12.86,0.00,1.36,,,,,,,,,,19.02%,27.10,4.91,0.16%,0.93%,,,,,,,,,,,,,,,,,,,,,,,,
FY 20-21,Q3 FY 20-21,Dec-20,BWDA Financial Ltd,95.84,82.51,,,88.17%,11.20%,19.06%,,,23.22%,15303,,,,,,0.00,0.99%,,355.26,3.71%,247.07,2.58%,158.18,1.65%,30.24,0.32%,,,,,6.08,46.89,0.00,,,47.03,0.00,0.00,,,,,,,,,,9.94%,0.38,0.30,0.57%,1.63%,,,,,,,,,,,,,,,,,,,,,,,,
FY 20-21,Q3 FY 20-21,Dec-20,Centrum MicroCredit Ltd,366.79,481.24,,,91.95%,15.01%,2.47%,,,25.46%,37700,,,,,,6.30,0.91%,,3152.49,8.59%,898.69,2.45%,630.09,1.72%,144.97,0.40%,,,,,0.00,11.29,0.00,,,88.71,0.00,0.00,,,,,,,,,,2.15%,0.43,0.42,0.09%,0.55%,,,,,,,,,,,,,,,,,,,,,,,,
FY 20-21,Q3 FY 20-21,Dec-20,Chaitanya India Fin Credit Pvt Ltd,1032.87,1062.83,,,92.71%,12.72%,8.13%,,,22.66%,32532,,,,,,38.26,4.06%,,8044.89,7.79%,5665.13,5.48%,4071.54,3.94%,2359.27,2.28%,,,,,10.24,27.44,35.37,,,26.93,0.00,0.03,,,,,,,,,,2.61%,53.24,19.45,2.50%,7.00%,,,,,,,,,,,,,,,,,,,,,,,,
FY 20-21,Q3 FY 20-21,Dec-20,CreditAccess Grameen Ltd,10202.75,11590.95,,,87.28%,9.52%,1.20%,,,19.35%,36955,,,,,,11.15,0.10%,,90407.43,8.86%,71466.88,7.00%,52688.25,5.16%,681.42,0.07%,,,,,22.41,33.14,33.41,,,8.18,2.87,#VALUE!,,,,,,,,,,3.42%,146.99,-71.61,-0.60%,-2.30%,,,,,,,,,,,,,,,,,,,,,,,,
FY 20-21,Q3 FY 20-21,Dec-20,Fino Finance Pvt Ltd,284.51,210.78,,,91.00%,18.30%,5.80%,,,21.89%,29732,,,,,,0.83,0.50%,,7280.68,25.59%,4094.53,14.39%,141.97,0.50%,141.97,0.50%,,,,,0.00,8.04,42.39,,,49.57,0.00,0.00,,,,,,,,,,4.36%,-1.92,-39.20,-14.57%,-66.25%,,,,,,,,,,,,,,,,,,,,,,,,
FY 20-21,Q3 FY 20-21,Dec-20,Fusion Microfinance Pvt Ltd,4107.69,5715.31,,,90.36%,11.06%,5.83%,,,21.73%,33080,,,,,,232.02,0.83%,,46860.88,11.41%,32153.32,7.83%,22428.47,5.46%,4229.77,1.03%,,,,,22.33,26.21,28.47,,,22.99,0.00,0.00,,,,,,,,,,2.37%,67.11,11.28,0.87%,3.66%,,,,,,,,,,,,,,,,,,,,,,,,
FY 20-21,Q3 FY 20-21,Dec-20,G U Financial Services Pvt Ltd,104.85,80.18,,,86.58%,14.51%,1.54%,,,23.65%,35212,,,,,,11.38,10.85%,,2348.95,22.40%,1741.99,16.61%,1137.86,10.85%,109.72,1.05%,,,,,9.26,0.00,36.40,,,54.34,0.00,0.00,,,,,,,,,,16.98%,-0.15,-0.15,-1.03%,-0.16%,,,,,,,,,,,,,,,,,,,,,,,,
FY 20-21,Q3 FY 20-21,Dec-20,Growing Opportunity Finance India Pvt Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FY 20-21,Q3 FY 20-21,Dec-20,Hindusthan Microfinance Pvt Ltd,19.12,24.61,,,89.91%,12.81%,4.26%,,,24.65%,,,,,,,0.00,1.28%,,155.94,8.15%,95.82,5.01%,24.50,1.28%,0.00,0.00%,,,,,0.00,100.00,0.00,,,0.00,0.00,0.00,,,,,,,,,,0.00%,-0.94,-0.94,0.00%,-8.53%,,,,,,,,,,,,,,,,,,,,,,,,
FY 20-21,Q3 FY 20-21,Dec-20,Humana Financial Services Pvt Ltd,125.62,52.14,,,84.45%,17.16%,0.00%,,,23.79%,35462,,,,,,0.00,3.22%,,986.59,7.85%,665.85,5.30%,397.18,3.16%,7.00,0.06%,,,,,0.00,0.00,15.34,,,84.66,0.00,0.00,,,,,,,,,,48.05%,1.26,0.97,2.42%,12.53%,,,,,,,,,,,,,,,,,,,,,,,,
